name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,72333333.3333333,79777777.7777778,94000000,108644444.444444,133511111.111111,156777777.777778,156911111.111111,156333333.333333,182522222.222222,215377777.777778,230911111.111111,257022222.222222,292844444.444444,315188888.888889,357655555.555556,402204444.444444,499522222.222222,639368888.888889,743348888.888889,907562913.215778,1050897995.54808,1099629292.92929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627473679.20914,2315621924.26655,3024916316.59397,4025838307.14946,5526552805.27607,6856739834.26288,0
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747959249.794597,1159142344.98023,1478981840.10054,1353420586.2304,1584583103.99577,2120713859.52209,2278350890.22832,2722678546.56829,2906782031.18127,3672294021.25421,4901419099.61918,5750475931.80014,6793520183.65295,8378003778.22774,9722969440.68668,9175478111.04582,9431611014.0144,10606571396.9363,0
Algeria,DZA,0,0,0,0,965764807.318286,1070880266.64696,1170534719.30259,1520338052.09989,2057904957.27882,2353830069.73792,2648315848.5313,2834547873.91255,4045452577.15184,5142958296.25857,6163892135.43735,8545095569.78745,10472165446.1728,12527973252.5956,17009758427.4317,20680714723.357,24374983107.6014,25291717687.4007,30027003600.317,34648765498.926,39073123802.465,44524443354.4154,48280730154.2906,53174434035.2802,49530836498.986,40497698995.6277,38325964833.9257,22451416098.7539,24933870167.0013,25023903070.574,19279729498.2452,15523467426.5275,15493433514.5702,17383263508.2073,20420449980.1468,20530072571.5039,20726999145.9255,29743405184.3021,34228424053.3187,40949989801.2456,48371318118.394,51782154702.659,62414453963.2342,81047525181.2385,100586491236.526,92486179785.1029,101434166503.372,121955290057.039,0
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,ADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020930647.31801,2075611389.05497,1008530882.82832,223800681.831919,390761956.861377,718129974.628424,950570863.801087,1433973110.91863,2129741435.27454,2796086846.6998,4868159968.16414,8025190553.82836,11366959924.9076,17864335488.2591,25067432911.4963,28015759110.705,37403404643.3007,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37972221.5516086,41931110.370581,48421110.2559635,53839258.3084237,62421110.0087145,70834072.8230992,87705183.6362558,92682590.955759,103231850.028712,121951849.709408,166460737.778333,196258515.052468,222439996.071568,230521107.039962,265932587.896054,292775550.384953,313937401.863073,341860364.332899,409242082.772524,400615659.591539,429245051.308148,492818360.555773,615211954.690521,652426318.848106,684603543.835391,721257028.743623,833615037.129679,884752582.152484,963022580.029445,1074644965.46553,1196789445.5306,1236317958.14815,1115245878.88889,1117985822.28041,1133749506.04615,0
Arab World,ARB,0,0,0,0,0,0,0,0,10447581856.0661,11557782256.9099,12475770627.2134,13626576043.7182,17665470788.9912,22554833798.5023,28357183254.874,37668740948.4525,49120600991.9637,63560447413.9241,81358446170.7323,96204476630.6514,117834496716.962,134027608039.421,155736674847.74,175870693433.827,194242062699.88,209357512441.454,220891818020.075,234114639013.078,233363481646.582,229158342879.216,229498355029.703,233340150877.18,247964085028.841,258562939109.378,264231615985.449,276857510198.117,294716955401.854,316394355776.507,337207963919.982,365785574375.014,394227411432.731,430790502483.346,456835365226.312,507820501527.133,565821848935.689,652435469806.277,785525381371.381,989749456275.176,1190372329652.1,1297870976389.13,1429349488739.6,1560053733914.99,0
Argentina,ARG,0,0,3498910090.45147,2926758959.34835,4088610300.68105,4288235201.85697,4566666590.60579,4469697163.77719,5397142945.58414,6525714392.64912,7263158089.54281,5999999919.89141,7875000031.46694,12222222153.2699,18888888782.3263,11621621531.8411,9750000275.74883,12760000077.5485,14254098218.9862,17913978152.9742,19206413287.6545,20222632174.5158,17721065291.7114,21862582983.5266,17380290439.0631,15299057053.1534,21726223003.9668,24501824956.4104,31737992479.386,15407584964.1552,16228799280.72,20028317298.7562,31323185498.401,45500775606.1004,53471032000,51970875000,61752085000,77520318000,85650721000,89150058000,90514975371.93,72922287000,28496861884.628,39014001481.2878,47005785821.1666,57504121460.5447,65684184359.6697,80220792145.8271,85410198746.6994,84738181940.0684,107511883985.54,128370762974.846,0
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016433710.72352,830272982.284209,172251739.779676,113165475.202918,131317352.033628,143186107.181943,190361517.81447,204564535.121902,281086086.851054,284926486.344359,369558085.928665,403991079.444857,536026638.390852,798692371.447705,1167524499.47169,2020998791.27222,2313258814.84165,2243421648.7277,2439075350.09462,3025437658.59151,0
