Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Afghanistan;AFG;87000000;99000000;116000000;125000000;124000000;121000000;128000000;126000000;114000000;126000000;114000000;141000000;164000000;172000000;243000000;350000000;261000000;328000000;395000000;425000000;841000000;886000000;962000000;1064000000;1390000000;1194000000;1404000000;996000000;900000000;822000000;936400000;443000000;398000000;465000000;391000000;387000000;661000000;604000000;462000000;1012000000;1176000000;1696000000;2452000000;2101000000;2177000000;2470740000;2582000000;2819000000;3019860000;3336435000;5154250000;6000000000;
Albania;ALB;81000000;72000000;65000000;71000000;98000000;;;;;;;;;;;;;;;;;;;;;;;;;;380000000;410000000;230000000;572000000;607000000;713500000;936790000;646180000;841760000;1154290000;1090000000;1326920000;1503720000;1864130000;2309000000;2618000000;3058000000;4187510000;5250600000;4550030000;4405942000;5379323932;
Algeria;DZA;1264110000;1023890000;392541000;682998000;703253000;671452000;643298000;639044000;814655000;1009100000;1256820000;1227040000;1494020000;2235710000;4035220000;5497520000;5081460000;7124990000;8547640000;8402740000;10558000000;11303000000;10754000000;10399000000;10288000000;9841000000;9228000000;7042000000;7690000000;9470000000;9780000000;7770000000;8550000000;8785000000;9370000000;10100000000;9090000000;8688000000;9400000000;9162000000;9171000000;9940000000;11969300000;12380400000;18168600000;20357000000;21456000000;27631000000;39479000000;39294000000;40473000000;46453000000;
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;95000000;234000000;198000000;227000000;284000000;296000000;313000000;346000000;339000000;378000000;360300000;371900000;418000000;466700000;497800000;415700000;470600000;528600000;498200000;452600000;506000000;515800000;499200000;623800000;603700000;520000000;579000000;650000000;680000000;600000000;550000000;680000000;
Andorra;ADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;128000000;114000000;136000000;147000000;164000000;195000000;207000000;275000000;303000000;321000000;368000000;445000000;392000000;579000000;614000000;429000000;353000000;720000000;885000000;1112000000;1328000000;1662000000;886000000;983000000;1256000000;1401000000;1086000000;1303000000;1372000000;1338000000;1578000000;1347000000;1988000000;1463000000;1454000000;1468000000;2040000000;2597000000;2079000000;3109000000;3040000000;3179000000;3760000000;5480000000;5832000000;8353000000;8777600000;13661000000;20982000000;22659900000;18342400000;21000000000;
Antigua and Barbuda;ATG;9000000;11000000;13000000;13000000;13000000;19000000;26000000;23000000;25000000;29000000;36000000;44000000;47000000;48000000;70000000;67000000;35000000;44000000;31000000;63000000;88000000;111000000;139000000;109000000;132000000;166000000;207000000;247000000;250000000;192000000;255000000;295000000;312000000;323000000;342000000;346000000;365000000;370000000;385000000;414000000;407000000;386000000;400000000;422415000;453937000;506000000;624181481.5;728256000;742741000;533866666.7;650000000;750000000;
Arab World;ARB;5096090647;5079008100;4653544313;5291788357;5790103253;5961898188;6599497888;6336746583;6623297248;7303298116;7841116936;8844493353;10798134975;15534016225;28085675060;39187797023;44467050414;62023553048;73164239216;85191733158;1.11738E+11;1.34686E+11;1.38862E+11;1.24203E+11;1.15271E+11;99038949735;89902130955;91215974252;1.0944E+11;1.05257E+11;1.05589E+11;1.03312E+11;1.20456E+11;1.19616E+11;1.21984E+11;1.3634E+11;1.46622E+11;1.53152E+11;1.57849E+11;1.51014E+11;1.65842E+11;1.74166E+11;1.82078E+11;2.1275E+11;2.82587E+11;3.40132E+11;3.88764E+11;4.99726E+11;6.51181E+11;5.6736E+11;6.21829E+11;7.12162E+11;
Argentina;ARG;1249300000;1460400000;1356500000;980700000;1077200000;1198600000;1124300000;1095500000;1169200000;1576100000;1694000000;1868100000;1904700000;2229500000;3634900000;3946500000;3033000000;4161500000;3833700000;6700100000;10541000000;9430000000;5337000000;4504000000;4585000000;3814000000;4724000000;5818000000;5322000000;4203000000;4076000000;8275000000;14872000000;16784000000;21527000000;20122000000;23762000000;30450000000;31404000000;25508000000;25154000000;20320000000;8990000000;13834000000;22445200000;28688700000;34152000000;44706000000;57461700000;38785800000;56501600000;73922300000;
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;394000000;674000000;856000000;892000000;902000000;800000000;882000000;874000000;987200000;1279500000;1350700000;1801700000;2191600000;3267800000;4426100000;3321100000;3749000000;4151500000;
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;192000000;236000000;336000000;387000000;536000000;481000000;496000000;530000000;545000000;567000000;578000000;614000000;815000000;782000000;835000000;841000000;841000000;847843000;875210000;1028423143;1041334000;1113877000;1134445000;1090441000;1001675978;1250000000;
Australia;AUS;2662240000;2368800000;2539710000;2776030000;3318340000;3762420000;3612340000;3923920000;4365980000;4537680000;5056460000;5227760000;5028010000;7392740000;11981600000;10696900000;12232400000;13511300000;15566700000;18190500000;22399000000;26215000000;26667000000;21458000000;25919000000;25889000000;26104000000;29318000000;36095000000;44933000000;41985000000;41648000000;43807000000;45577000000;53425000000;61283000000;65427000000;65892000000;64630000000;69158000000;71529000000;63888000000;72689500000;89084400000;1.09384E+11;1.25281E+11;1.39253E+11;1.65336E+11;2.00273E+11;1.65471E+11;2.01639E+11;2.43699E+11;
Austria;AUT;1415880000;1484770000;1551850000;1675270000;1862810000;2100540000;2327650000;2309460000;2496000000;2825380000;3548690000;4189680000;5216260000;7118910000;9022080000;9393870000;11522800000;14244700000;16018500000;20252400000;24444000000;21043000000;19502000000;19423000000;19629000000;20986000000;26863000000;32724000000;36223000000;38980000000;49146000000;50815000000;54112000000;49126000000;55233000000;66237000000;68505000000;65739000000;69504329000;71320782333;72394154148;74632731165;78299111942;99531532284;1.19905E+11;1.27327E+11;1.37212E+11;1.63037E+11;1.84293E+11;1.43063E+11;1.59009E+11;1.91595E+11;
Azerbaijan;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;778000000;668000000;961000000;794000000;1076000000;1036000000;1172000000;1431000000;1665500000;2626200000;3516000000;4349857000;5269338000;6045019000;7574679000;6514000000;6745603000;9800000000;
Bahamas, The;BHS;66000000;85000000;69000000;79000000;100000000;104860000;139160000;162680000;176400000;295959000;337426000;511000000;485000000;764000000;1908000000;2697000000;3125000000;3568000000;3150000000;3514000000;5519000000;3068000000;3428000000;2723000000;2260000000;1212000000;1193000000;1064000000;888000000;1516000000;1738000000;1806000000;1038000000;954000000;1056000000;1243000000;1366000000;1666000000;1873000000;1757000000;2074000000;1912000000;1728000000;1762000000;1905000000;2311600000;2727300000;2956300000;3199000000;2535300000;2590600000;2850000000;
Bahrain;BHR;180000000;186000000;201000000;186000000;180000000;168000000;175980000;206010000;193032000;208824000;247170000;311923000;376427000;512227000;1127320000;1189380000;1667810000;2028810000;2045100000;2479840000;3483000000;4124000000;3614000000;3342000000;3480000000;3107000000;2405000000;2714000000;2593000000;3134000000;3712000000;4115000000;4263000000;3858000000;3747000000;3716000000;4273000000;4026000000;3566000000;3698000000;4633000000;4306000000;5013000000;5657181000;7384562000;9393069000;10515160000;11488000000;10800000000;7500000000;9800000000;11000000000;
Bangladesh;BGD;;;;;;;;;;;;;682708000;986390000;1078420000;1321250000;952146000;1163120000;1512600000;1908360000;2599000000;2699000000;2464000000;2165000000;2825000000;2542000000;2546000000;2715000000;3041000000;3650000000;3618000000;3412000000;3732000000;3994000000;4602000000;6694000000;7032000000;7263000000;7495000000;8331000000;8883000000;9018000000;8592000000;10434000000;12036000000;13889000000;16034000000;18596000000;23860000000;21833000000;27818800000;36234200000;
