ARE,IDN,11.0
E27,ARE,15.7
ARE,IRN,4.7
IDN,ARE,12.5
ARE,IRQ,2.3
TWN,ARE,7.5
ARE,CHE,2.2
USA,ARE,6.2
ARE,E27,1.9
JPN,ARE,4.3
AFG,PAK,39.0
UZB,AFG,21.1
AFG,IDN,16.8
CHN,AFG,13.7
AFG,TUR,9.0
BGD,AFG,11.6
AFG,IRN,8.2
E27,AFG,9.9
AFG,RUS,7.6
JPN,AFG,9.6
ATG,BRA,38.1
USA,ATG,32.8
ATG,E27,15.5
E27,ATG,7.8
ATG,ATG,7.4
TTO,ATG,4.0
ATG,TTO,6.9
TWN,ATG,2.9
ATG,JAM,4.3
JPN,ATG,1.6
ALB,E27,72.7
E27,ALB,64.0
ALB,SRB,9.3
TWN,ALB,6.4
ALB,TUR,7.4
TUR,ALB,5.6
ALB,CHE,2.7
SRB,ALB,4.4
ALB,CHN,2.5
CHE,ALB,2.6
ARM,E27,46.0
E27,ARM,26.0
ARM,RUS,16.7
RUS,ARM,21.5
ARM,BRA,7.6
TWN,ARM,9.8
ARM,IRN,7.1
TUR,ARM,5.8
ARM,CAN,5.3
UKR,ARM,5.6
ARG,BRA,20.7
BRA,ARG,28.4
ARG,E27,16.9
E27,ARG,16.1
ARG,CHN,7.4
TWN,ARG,15.1
ARG,CHL,5.8
USA,ARG,10.7
ARG,BRA,5.1
MEX,ARG,3.4
AUT,E27,70.5
E27,AUT,72.5
AUT,CHE,5.1
CHE,AUT,5.4
AUT,BRA,4.5
TWN,AUT,4.8
AUT,CHN,2.6
USA,AUT,2.9
AUT,RUS,2.3
RUS,AUT,2.0
AUS,CHN,27.5
TWN,AUS,18.5
AUS,JPN,19.2
E27,AUS,17.8
AUS,PRK,8.9
BRA,AUS,11.4
AUS,E27,7.1
JPN,AUS,7.9
AUS,IDN,5.9
SGP,AUS,6.2
AZE,E27,59.6
E27,AZE,32.3
AZE,BRA,8.6
RUS,AZE,16.9
AZE,RUS,4.5
TUR,AZE,13.4
AZE,IDN,3.4
USA,AZE,6.5
AZE,UKR,3.4
PNG,AZE,6.5
BIH,E27,55.6
E27,BIH,45.4
BIH,HRV,14.6
HRV,BIH,14.3
BIH,SRB,12.2
RUS,BIH,10.5
BIH,MNE,3.7
SRB,BIH,9.4
BIH,TUR,1.8
TWN,BIH,5.0
BRB,TTO,16.9
USA,BRB,31.9
BRB,BRA,13.9
TTO,BRB,26.5
BRB,E27,13.3
E27,BRB,12.6
BRB,LCA,3.7
SUR,BRB,4.8
BRB,JAM,3.7
TWN,BRB,4.1
BGD,E27,51.2
CHN,BGD,15.6
BGD,USA,25.7
IDN,BGD,13.2
BGD,IDN,4.0
E27,BGD,9.7
BGD,CAN,3.5
KWT,BGD,7.2
BGD,CHN,1.7
IDN,BGD,5.1
BEL,E27,72.2
E27,BEL,68.1
BEL,BRA,5.1
USA,BEL,5.7
BEL,IDN,2.3
TWN,BEL,4.3
BEL,CHN,2.1
RUS,BEL,2.7
BEL,CHE,1.6
JPN,BEL,2.0
BFA,CHE,63.5
E27,BFA,30.2
BFA,ZAF,11.2
BGR,E27,62.5
E27,BGR,59.1
BGR,TUR,8.5
RUS,BGR,17.7
BGR,TUR,3.1
TUR,BGR,4.8
BGR,RUS,2.6
UKR,BGR,4.0
BGR,SRB,2.6
TWN,BGR,2.9
BHR,SAU,23.2
E27,BHR,20.0
BHR,QAT,11.0
CHN,BHR,13.4
BHR,OMN,10.9
BRA,BHR,12.4
BHR,ARE,8.5
BRA,BHR,8.2
BHR,E27,7.1
SAU,BHR,6.1
BDI,E27,31.0
E27,BDI,26.8
BDI,CHE,26.9
TWN,BDI,12.0
BDI,ARE,8.8
JPN,BDI,9.4
BDI,KEN,8.7
ZMB,BDI,8.4
BDI,COD,6.2
KEN,BDI,7.3
BEN,NGA,48.5
E27,BEN,41.2
BEN,TWN,11.7
CHN,BEN,12.6
BEN,E27,7.2
TGO,BEN,10.9
BEN,IDN,5.2
MYS,BEN,4.6
BEN,TCD,4.1
