;;;;;;;;;;;September 2012;;
Belgium;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 11 008;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 511 533;;Merchandise ;;;;10;13;
GDP (million current PPP US$, 2011);;;;; 425 277;;excluding intra-EU trade;;;;-;-;
Current account balance (million US$, 2010);;;;; 6 630;;Commercial services;;;;16;16;
Trade per capita (US$, 2009-2011);;;;; 68 389;;excluding intra-EU trade;;;;-;-;
Trade to GDP ratio (2009-2011);;;;;  154.1;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  108;;1;;2;;2;;
Exports of goods and services (volume, 2005=100);;;;;  115;;2;;10;;4;;
Imports of goods and services (volume, 2005=100);;;;;  116;;3;;9;;5;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 January 1995;;Contribution to WTO budget (%, 2012);;;;;2.272;
Trade Policy Review;;;;;6, 8 July 2011;;Import duties collected;;;;;;
GPA accession ;;;;;1 January 1996;;in total tax revenue;;;;;...;
Tariffs and duty free imports;;;;;;;to total imports;;;;;...;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  25;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;33 - 10;
All goods;;;;  5.2 ;  5.3;;Anti-dumping (30 June 2011);;;;;140;
Agricultural goods (AOA);;;;  13.8 ;  13.9;;Countervailing duties (30 June 2011);;;;;11;
Non-agricultural goods;;;;  3.9 ;  4.0;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  4.8 ;  4.7;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;87 - 75;
in agricultural goods (AOA);;;;;  42.9;;Original panel / Appellate Body (AB) reports;;;;;36 - 30;
in non-agricultural goods;;;;;  58.8;;Compliance panel / AB reports (Article 21.5 DSU);;;;;4 - 4;
Services sectors with GATS commitments;;;;;  115;;Arbitration awards (Article 22.6 DSU);;;;;4 - 3;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
