;;;;;;;;;;;September 2012;;
Brazil;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 196 655;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;;2 476 652;;Merchandise ;;;;22;21;
GDP (million current PPP US$, 2011);;;;;2 304 646;;excluding intra-EU trade;;;;16;15;
Current account balance (million US$, 2011);;;;;- 52 612;;Commercial services;;;;31;17;
Trade per capita (US$, 2009-2011);;;;; 2 423;;excluding intra-EU trade;;;;18;10;
Trade to GDP ratio (2009-2011);;;;;  22.7;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  128;;4;;8;;3;;
Exports of goods and services (volume, 2005=100);;;;;  119;;3;;12;;4;;
Imports of goods and services (volume, 2005=100);;;;;  226;;15;;36;;10;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 January 1995;;Contribution to WTO budget (%, 2012);;;;;1.075;
Trade Policy Review;;;;;9, 11 March 2009;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;2.1;
Tariffs and duty free imports;;;;;;;to total imports;;;;;4.7;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  23;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;5 - 1;
All goods;;;;  31.4 ;  13.7;;Anti-dumping (30 June 2011);;;;;75;
Agricultural goods (AOA);;;;  35.4 ;  10.3;;Countervailing duties (30 June 2011);;;;;1;
Non-agricultural goods;;;;  30.8 ;  14.2;;Safeguards (26 October 2011);;;;;  1;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  0.0;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;26 - 14;
in agricultural goods (AOA);;;;;  2.1;;Original panel / Appellate Body (AB) reports;;;;;12 - 3;
in non-agricultural goods;;;;;  28.7;;Compliance panel / AB reports (Article 21.5 DSU);;;;;2 - 2;
Services sectors with GATS commitments;;;;;  43;;Arbitration awards (Article 22.6 DSU);;;;;1 - 4;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 256 040;;14;;32;;27;;
Merchandise imports, c.i.f. (million US$);;;;; 236 870;;20;;43;;24;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports ;;;;;  1.40;;Share in world total imports ;;;;;1.28;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  33.8;;Agricultural products;;;;;6.0;
Fuels and mining products;;;;;  30.4;;Fuels and mining products;;;;;22.0;
Manufactures;;;;;  32.8;;Manufactures;;;;;72.0;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. European Union (27);;;;;  20.7;;1. European Union (27);;;;;  20.5;
2. China;;;;;  17.3;;2. United States;;;;;  15.1;
3. United States;;;;;  10.1;;3. China;;;;;  14.5;
4. Argentina;;;;;  8.9;;4. Argentina;;;;;  7.5;
5. Japan;;;;;  3.7;;5. Korea, Republic of;;;;;  4.5;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;;2010   ;2011   ;;
Commercial services exports (million US$);;;;; 36 660   ;;16;;15;;21;;
Commercial services imports (million US$);;;;; 73 115   ;;22;;36;;22;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports;;;;;  0.88   ;;Share in world total imports;;;;;1.85;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
Transportation;;;;;  15.9   ;;Transportation;;;;;19.4;
Travel;;;;;  18.5   ;;Travel;;;;;29.0;
Other commercial services;;;;;  65.6   ;;Other commercial services;;;;;51.6;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
INDUSTRIAL PROPERTY ;;;;;;;;;;;;;
Patent grants by patent office, 2010;;;;;;;Trademark registrations by office, 2009;;;;;;
Residents;;Non-residents;; Total ;;;Direct residents;;Direct non-residents;;Madrid; Total ;
;;;;;;;;;;;;;
  314;; 2 937;; 3 251;;;...;;...;;...; 64 182;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Technical notes;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
 Trade per capita is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by the population. It is calculated on the basis of data for the three latest years available.;;;;;;;;;;;;;
