;;;;;;;;;;;September 2012;;
Belarus;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 9 473;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 55 136;;Merchandise ;;;;59;55;
GDP (million current PPP US$, 2011);;;;; 142 477;;excluding intra-EU trade;;;;42;37;
Current account balance (million US$, 2011);;;;;- 5 775;;Commercial services;;;;65;84;
Trade per capita (US$, 2009-2011);;;;; 7 637;;excluding intra-EU trade;;;;42;60;
Trade to GDP ratio (2009-2011);;;;;  136.2;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  150;;7;;8;;5;;
Exports of goods and services (volume, 2005=100);;;;;  128;;4;;7;;11;;
Imports of goods and services (volume, 2005=100);;;;;  161;;8;;12;;4;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;Observer;;Contribution to WTO budget;;;;;-;
Trade Policy Review;;;;;-;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;6.1;
Tariffs and duty free imports;;;;;;;to total imports;;;;;2.9;
Tariff binding coverage (%) ;;;;;-;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;-;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;5 - 0;
All goods;;;;- ;  9.8;;Anti-dumping ;;;;;-;
Agricultural goods (AOA);;;;- ;  15.2;;Countervailing duties ;;;;;-;
Non-agricultural goods;;;;- ;  9.0;;Safeguards ;;;;;-;
Non ad-valorem duties (% total tariff lines);;;;- ;  13.1;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;-;
in agricultural goods (AOA);;;;;  7.1;;Original panel / Appellate Body (AB) reports;;;;;-;
in non-agricultural goods;;;;;  53.3;;Compliance panel / AB reports (Article 21.5 DSU);;;;;-;
Services sectors with GATS commitments;;;;;-;;Arbitration awards (Article 22.6 DSU);;;;;-;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 40 294;;17;;19;;59;;
Merchandise imports, c.i.f. (million US$);;;;; 45 747;;18;;22;;31;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports ;;;;;  0.22;;Share in world total imports ;;;;;0.25;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  10.9;;Agricultural products;;;;;8.3;
Fuels and mining products;;;;;  36.1;;Fuels and mining products;;;;;44.3;
Manufactures;;;;;  49.7;;Manufactures;;;;;41.8;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. European Union (27);;;;;  38.9;;1. Russian Federation;;;;;  54.0;
2. Russian Federation;;;;;  33.7;;2. European Union (27);;;;;  18.9;
3. Ukraine;;;;;  10.3;;3. China;;;;;  4.7;
4. Brazil;;;;;  3.0;;4. Ukraine;;;;;  4.4;
5. China;;;;;  1.6;;5. Venezuela, Bolivarian Rep. of;;;;;  2.5;
    Unspecified destinations;;;;;  1.0;;    Unspecified origins;;;;;5.2;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;;2010   ;2011   ;;
Commercial services exports (million US$);;;;; 5 224   ;;17;;29;;17;;
Commercial services imports (million US$);;;;; 3 177   ;;20;;36;;11;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports;;;;;  0.13   ;;Share in world total imports;;;;;0.08;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
Transportation;;;;;  67.7   ;;Transportation;;;;;48.2;
Travel;;;;;  8.8   ;;Travel;;;;;17.5;
Other commercial services;;;;;  23.5   ;;Other commercial services;;;;;34.3;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
INDUSTRIAL PROPERTY ;;;;;;;;;;;;;
Patent grants by patent office, 2010;;;;;;;Trademark registrations by office, 2010;;;;;;
Residents;;Non-residents;; Total ;;;Direct residents;;Direct non-residents;;Madrid; Total ;
;;;;;;;;;;;;;
 1 126;;  96;; 1 222;;; 2 192;; 1 108;; 5 203; 8 503;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Technical notes;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
 Trade per capita is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by the population. It is calculated on the basis of data for the three latest years available.;;;;;;;;;;;;;
 Trade to GDP ratio is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by GDP, on the basis of data for the three latest years available. GDP is measured in nominal terms and with market exchange rates.;;;;;;;;;;;;;
 Real GDP, exports and imports of goods and services (national accounts based), refer to data at constant prices or volume figures based on 2005.;;;;;;;;;;;;;
 Ranks in world trade of merchandise and commercial services are defined first referring to European Union (EU (27)) members as individual traders and second referring to the EU (27) as one trader (i.e. excluding individual EU (27) members).;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
The Trade Policy Review date indicates the date of the latest policy review for the economy considered.;;;;;;;;;;;;;
The tariff binding coverage corresponds to the number of the Harmonized System (HS) subheadings containing at least one bound tariff line divided by the respective total number of HS subheadings of the corresponding version of the HS nomenclature. ;;;;;;;;;;;;;
For MFN bound tariffs, the simple average of import duties refers to the simple average of ad-valorem (AV) and calculable ad-valorem equivalent (AVE) of final bound HS 6-digit duties. For MFN applied tariffs it refers to the simple average of AV and calculable AVE of MFN applied HS 6-digit duties. ;;;;;;;;;;;;;
The non-AV duties as a percentage of total tariff lines refer to the share of HS six-digit subheadings subject to non-AV duties.  When only part of the HS six-digit subheading is subject to non-av duties the percentage share of these tariff lines is used.;;;;;;;;;;;;;
"Agricultural goods according to the AOA (WTO Agreement on Agriculture) definition refer to HS chapters 1 to 24 (excluding fish and fish products) and a number of manufactured agricultural products (for further information see ""The Legal Texts, The Results of the Uruguay Round of Multilateral Negotiations"", WTO). This definition does not correspond to the definition of agricultural products presented in the breakdown of merchandise trade by main commodity group (see below).";;;;;;;;;;;;;
 Import duties collected in total tax revenue and import duties collected to total imports (goods and commercial services) are estimated in general on the basis of data for the three latest years available.;;;;;;;;;;;;;
