;;;;;;;;;;;September 2012;;
Canada;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 34 483;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;;1 736 051;;Merchandise ;;;;13;11;
GDP (million current PPP US$, 2011);;;;;1 397 983;;excluding intra-EU trade;;;;8;7;
Current account balance (million US$, 2011);;;;;- 49 086;;Commercial services;;;;18;12;
Trade per capita (US$, 2009-2011);;;;; 27 755;;excluding intra-EU trade;;;;10;7;
Trade to GDP ratio (2009-2011);;;;;  61.1;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  109;;1;;3;;2;;
Exports of goods and services (volume, 2005=100)  a;;;;;  89;;-2;;6;;...;;
Imports of goods and services (volume, 2005=100)  a;;;;;  110;;2;;13;;...;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 January 1995;;Contribution to WTO budget (%, 2012);;;;;2.948;
Trade Policy Review;;;;;20, 22 June 2011;;Import duties collected (%, 2005-2007);;;;;;
GPA accession ;;;;;1 January 1996;;in total tax revenue;;;;;0.8;
Tariffs and duty free imports;;;;;;;to total imports;;;;;0.7;
Tariff binding coverage (%) ;;;;;  99.7;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  22;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;7 - 4;
All goods;;;;  7.0 ;  4.5;;Anti-dumping (30 June 2011);;;;;33;
Agricultural goods (AOA);;;;  18.0 ;  18.0;;Countervailing duties (30 June 2011);;;;;9;
Non-agricultural goods;;;;  5.3 ;  2.5;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  2.8 ;  1.6;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;33 - 17;
in agricultural goods (AOA);;;;;  52.3;;Original panel / Appellate Body (AB) reports;;;;;15 - 11;
in non-agricultural goods;;;;;  67.4;;Compliance panel / AB reports (Article 21.5 DSU);;;;;6 - 5;
Services sectors with GATS commitments;;;;;  105;;Arbitration awards (Article 22.6 DSU);;;;;1 - 3;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 452 440;;4;;23;;17;;
Merchandise imports, f.o.b. (million US$);;;;; 462 635;;6;;22;;15;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports ;;;;;  2.48;;Share in world total imports ;;;;;2.51;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  13.3;;Agricultural products;;;;;8.1;
Fuels and mining products;;;;;  34.1;;Fuels and mining products;;;;;15.2;
Manufactures;;;;;  45.1;;Manufactures;;;;;72.2;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. United States;;;;;  73.7;;1. United States;;;;;  49.5;
2. European Union (27);;;;;  8.9;;2. European Union (27);;;;;  11.7;
3. China;;;;;  3.8;;3. China;;;;;  10.8;
4. Japan;;;;;  2.4;;4. Mexico;;;;;  5.5;
5. Mexico;;;;;  1.2;;5. Japan;;;;;  2.9;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;;2010   ;2011   ;;
Commercial services exports (million US$);;;;; 74 522   ;;5;;15;;11;;
Commercial services imports (million US$);;;;; 99 841   ;;7;;15;;11;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports;;;;;  1.79   ;;Share in world total imports;;;;;2.53;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
Transportation;;;;;  18.1   ;;Transportation;;;;;23.5;
Travel;;;;;  22.4   ;;Travel;;;;;33.2;
Other commercial services;;;;;  59.5   ;;Other commercial services;;;;;43.3;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
