;;;;;;;;;;;September 2012;;
Central African Republic;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 4 487;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 2 166;;Merchandise ;;;;178;185;
GDP (million current PPP US$, 2011);;;;; 3 661;;excluding intra-EU trade;;;;152;159;
Current account balance (million US$, 2011);;;;;...;;Commercial services;;;;188;167;
Trade per capita (US$, 2007-2009);;;;;  143;;excluding intra-EU trade;;;;162;141;
Trade to GDP ratio (2007-2009);;;;;  32.2;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  119;;3;;3;;3;;
Exports of goods and services (volume, 2005=100)  a;;;;;  114;;14;;...;;...;;
Imports of goods and services (volume, 2005=100)  a;;;;;  102;;2;;...;;...;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;31 May 1995;;Contribution to WTO budget (%, 2012);;;;;0.015;
Trade Policy Review;;;;;11, 13 June 2007;;Import duties collected (%, 2008-2009);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;16.4;
Tariffs and duty free imports;;;;;;;to total imports;;;;;6.0;
Tariff binding coverage (%) ;;;;;  62.1;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  41;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;1 - 0;
All goods;;;;  36.2 ;  17.8;;Anti-dumping (30 June 2011);;;;;...;
Agricultural goods (AOA);;;;  30.0 ;  21.9;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  37.9 ;  17.2;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  0.5;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;0 - 0;
in agricultural goods (AOA);;;;;  0.0;;Original panel / Appellate Body (AB) reports;;;;;0 - 0;
in non-agricultural goods;;;;;  1.9;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  17;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;;  160;;4;;17;;14;;
Merchandise imports, c.i.f. (million US$);;;;;  380;;14;;11;;27;;
;;;;;;;;;;;;;
