;;;;;;;;;;;September 2012;;
Chile;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 17 270;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 248 585;;Merchandise ;;;;46;43;
GDP (million current PPP US$, 2011);;;;; 295 741;;excluding intra-EU trade;;;;33;27;
Current account balance (million US$, 2010);;;;; 3 802;;Commercial services;;;;48;50;
Trade per capita (US$, 2009-2011);;;;; 8 537;;excluding intra-EU trade;;;;31;33;
Trade to GDP ratio (2009-2011);;;;;  68.8;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  128;;4;;6;;6;;
Exports of goods and services (volume, 2005=100);;;;;  118;;3;;1;;5;;
Imports of goods and services (volume, 2005=100);;;;;  174;;10;;27;;14;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 January 1995;;Contribution to WTO budget (%, 2012);;;;;0.385;
Trade Policy Review;;;;;7, 9 October 2009;;Import duties collected (%, 2009-2010);;;;;;
GPA accession ;;;;;Observer;;in total tax revenue;;;;;1.2;
Tariffs and duty free imports;;;;;;;to total imports;;;;;0.7;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  5;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;22 - 17;
All goods;;;;  25.1 ;  6.0;;Anti-dumping (30 June 2011);;;;;1;
Agricultural goods (AOA);;;;  26.0 ;  6.0;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  25.0 ;  6.0;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  0.1;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;10 - 13;
in agricultural goods (AOA);;;;;  0.0;;Original panel / Appellate Body (AB) reports;;;;;2 - 3;
in non-agricultural goods;;;;;  0.8;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 1;
Services sectors with GATS commitments;;;;;  42;;Arbitration awards (Article 22.6 DSU);;;;;0 - 1;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
