;;;;;;;;;;;September 2012;;
Croatia;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 4 407;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 63 850;;Merchandise ;;;;78;71;
GDP (million current PPP US$, 2011);;;;; 88 277;;excluding intra-EU trade;;;;55;49;
Current account balance (million US$, 2010);;;;;-  481;;Commercial services;;;;47;80;
Trade per capita (US$, 2009-2011);;;;; 11 008;;excluding intra-EU trade;;;;30;57;
Trade to GDP ratio (2009-2011);;;;;  77.5;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  105;;1;;-1;;0;;
Exports of goods and services (volume, 2005=100);;;;;  100;;0;;6;;2;;
Imports of goods and services (volume, 2005=100);;;;;  94;;-1;;-1;;1;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;30 November 2000;;Contribution to WTO budget (%, 2012);;;;;0.166;
Trade Policy Review;;;;;24, 26 March 2010;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;Observer;;in total tax revenue;;;;;2.3;
Tariffs and duty free imports;;;;;;;to total imports;;;;;1.2;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  11;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;4 - 1;
All goods;;;;  6.3 ;  4.9;;Anti-dumping (30 June 2011);;;;;...;
Agricultural goods (AOA);;;;  11.5 ;  10.7;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  5.5 ;  4.0;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  1.9 ;  1.9;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;0 - 1;
in agricultural goods (AOA);;;;;  22.5;;Original panel / Appellate Body (AB) reports;;;;;0 - 0;
in non-agricultural goods;;;;;  57.2;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  127;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 13 375;;7;;13;;13;;
Merchandise imports, c.i.f. (million US$);;;;; 22 708;;3;;-5;;13;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports ;;;;;  0.07;;Share in world total imports ;;;;;0.12;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  14.0;;Agricultural products;;;;;12.1;
Fuels and mining products;;;;;  16.0;;Fuels and mining products;;;;;24.4;
