;;;;;;;;;;;September 2012;;
Israel;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 7 766;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 242 929;;Merchandise ;;;;51;42;
GDP (million current PPP US$, 2011);;;;; 217 492;;excluding intra-EU trade;;;;36;26;
Current account balance (million US$, 2011);;;;;  193;;Commercial services;;;;34;39;
Trade per capita (US$, 2009-2011);;;;; 20 452;;excluding intra-EU trade;;;;20;26;
Trade to GDP ratio (2009-2011);;;;;  71.4;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  128;;4;;5;;5;;
Exports of goods and services (volume, 2005=100);;;;;  127;;4;;13;;5;;
Imports of goods and services (volume, 2005=100);;;;;  126;;4;;13;;11;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;21 April 1995;;Contribution to WTO budget (%, 2012);;;;;0.446;
Trade Policy Review;;;;;1, 3 February 2006;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;1 January 1996;;in total tax revenue;;;;;1.2;
Tariffs and duty free imports;;;;;;;to total imports;;;;;0.9;
Tariff binding coverage (%) ;;;;;  75.1;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2009;;Outstanding notifications in WTO Central Registry;;;;;  25;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;7 - 0;
All goods;;;;  22.2 ;  6.4;;Anti-dumping (30 June 2011);;;;;...;
Agricultural goods (AOA);;;;  73.4 ;  16.3;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  11.5 ;  4.9;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  5.9 ;  4.9;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2009);;;;;;;Requests for consultation;;;;;0 - 0;
in agricultural goods (AOA);;;;;  57.2;;Original panel / Appellate Body (AB) reports;;;;;0 - 0;
in non-agricultural goods;;;;;  73.7;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  58;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 67 796;;8;;22;;16;;
Merchandise imports, c.i.f. (million US$);;;;; 75 472;;8;;24;;23;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports ;;;;;  0.37;;Share in world total imports ;;;;;0.41;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  3.6;;Agricultural products;;;;;8.1;
Fuels and mining products;;;;;  2.4;;Fuels and mining products;;;;;19.6;
Manufactures;;;;;  93.0;;Manufactures;;;;;69.2;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. United States;;;;;  28.7;;1. European Union (27);;;;;  34.6;
2. European Union (27);;;;;  27.7;;2. United States;;;;;  11.8;
3. Hong Kong, China;;;;;  7.9;;3. China;;;;;  7.4;
4. India;;;;;  4.5;;4. Switzerland;;;;;  5.4;
5. China;;;;;  4.0;;5. Japan;;;;;  3.3;
    Unspecified destinations;;;;;  3.9;;    Unspecified origins;;;;;18.4;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;;2010   ;2011   ;;
Commercial services exports (million US$);;;;; 26 838   ;;8;;13;;11;;
Commercial services imports (million US$);;;;; 19 542   ;;6;;6;;10;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports;;;;;  0.64   ;;Share in world total imports;;;;;0.49;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
Transportation;;;;;  16.7   ;;Transportation;;;;;33.1;
Travel;;;;;  18.1   ;;Travel;;;;;18.1;
Other commercial services;;;;;  65.3   ;;Other commercial services;;;;;48.8;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
INDUSTRIAL PROPERTY ;;;;;;;;;;;;;
Patent grants by patent office, 2010;;;;;;;Trademark registrations by office, 2010;;;;;;
Residents;;Non-residents;; Total ;;;Direct residents;;Direct non-residents;;Madrid; Total ;
;;;;;;;;;;;;;
  212;; 3 512;; 3 724;;; 2 389;; 6 731;;  450; 9 570;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Technical notes;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
 Trade per capita is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by the population. It is calculated on the basis of data for the three latest years available.;;;;;;;;;;;;;
 Trade to GDP ratio is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by GDP, on the basis of data for the three latest years available. GDP is measured in nominal terms and with market exchange rates.;;;;;;;;;;;;;
 Real GDP, exports and imports of goods and services (national accounts based), refer to data at constant prices or volume figures based on 2005.;;;;;;;;;;;;;
