;;;;;;;;;;;September 2012;;
Kazakhstan;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 16 558;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 186 198;;Merchandise ;;;;43;59;
GDP (million current PPP US$, 2011);;;;; 218 393;;excluding intra-EU trade;;;;30;41;
Current account balance (million US$, 2011);;;;; 14 110;;Commercial services;;;;77;58;
Trade per capita (US$, 2009-2011);;;;; 6 957;;excluding intra-EU trade;;;;51;40;
Trade to GDP ratio (2009-2011);;;;;  75.8;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  145;;6;;7;;8;;
Exports of goods and services (volume, 2005=100);;;;;  97;;-1;;2;;-8;;
Imports of goods and services (volume, 2005=100);;;;;  95;;-1;;-4;;-6;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;Observer;;Contribution to WTO budget;;;;;-;
Trade Policy Review;;;;;-;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;6.0;
Tariffs and duty free imports;;;;;;;to total imports;;;;;2.5;
Tariff binding coverage (%) ;;;;;-;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;-;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;9 - 0;
All goods;;;;- ;  9.6;;Anti-dumping ;;;;;-;
Agricultural goods (AOA);;;;- ;  15.4;;Countervailing duties ;;;;;-;
Non-agricultural goods;;;;- ;  8.7;;Safeguards ;;;;;-;
Non ad-valorem duties (% total tariff lines);;;;- ;  13.1;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;-;
in agricultural goods (AOA);;;;;  6.3;;Original panel / Appellate Body (AB) reports;;;;;-;
in non-agricultural goods;;;;;  35.3;;Compliance panel / AB reports (Article 21.5 DSU);;;;;-;
Services sectors with GATS commitments;;;;;-;;Arbitration awards (Article 22.6 DSU);;;;;-;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 88 273;;21;;39;;47;;
Merchandise imports, c.i.f. (million US$);;;;; 37 909;;14;;9;;22;;
;;;;;;;;;;;;;
;;;;;2011  a;;;;;;2011  a;;
Share in world total exports ;;;;;  0.48;;Share in world total imports ;;;;;0.21;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  2.4;;Agricultural products;;;;;10.7;
Fuels and mining products;;;;;  85.0;;Fuels and mining products;;;;;16.3;
Manufactures;;;;;  11.3;;Manufactures;;;;;69.0;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. European Union (27);;;;;  53.8;;1. European Union (27);;;;;  30.1;
2. China;;;;;  17.7;;2. Russian Federation;;;;;  22.8;
3. Russian Federation;;;;;  5.3;;3. China;;;;;  16.5;
4. Canada;;;;;  4.3;;4. Ukraine;;;;;  5.7;
5. Israel;;;;;  2.2;;5. United States;;;;;  5.5;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;;2010   ;2011   ;;
Commercial services exports (million US$);;;;; 4 109   ;;13;;2;;5;;
Commercial services imports (million US$);;;;; 10 796   ;;7;;13;;-3;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports;;;;;  0.10   ;;Share in world total imports;;;;;0.27;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
Transportation;;;;;  54.1   ;;Transportation;;;;;20.1;
Travel;;;;;  29.4   ;;Travel;;;;;15.1;
Other commercial services;;;;;  16.5   ;;Other commercial services;;;;;64.8;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
INDUSTRIAL PROPERTY ;;;;;;;;;;;;;
Patent grants by patent office, 2008;;;;;;;Trademark registrations by office, 2010;;;;;;
Residents;;Non-residents;; Total ;;;Direct residents;;Direct non-residents;;Madrid; Total ;
;;;;;;;;;;;;;
  132;;  39;;  171;;;...;;...;; 3 021; 3 021;
;;;;;;;;;;;;;
a  Breakdowns by destination/origin refer to 2010.;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Technical notes;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
 Trade per capita is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by the population. It is calculated on the basis of data for the three latest years available.;;;;;;;;;;;;;
 Trade to GDP ratio is estimated as an economy's total trade of goods and commercial services (exports + imports, balance of payments basis) divided by GDP, on the basis of data for the three latest years available. GDP is measured in nominal terms and with market exchange rates.;;;;;;;;;;;;;
 Real GDP, exports and imports of goods and services (national accounts based), refer to data at constant prices or volume figures based on 2005.;;;;;;;;;;;;;
 Ranks in world trade of merchandise and commercial services are defined first referring to European Union (EU (27)) members as individual traders and second referring to the EU (27) as one trader (i.e. excluding individual EU (27) members).;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
The Trade Policy Review date indicates the date of the latest policy review for the economy considered.;;;;;;;;;;;;;
The tariff binding coverage corresponds to the number of the Harmonized System (HS) subheadings containing at least one bound tariff line divided by the respective total number of HS subheadings of the corresponding version of the HS nomenclature. ;;;;;;;;;;;;;
