;;;;;;;;;;;September 2012;;
Morocco;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 32 273;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 100 221;;Merchandise ;;;;71;56;
GDP (million current PPP US$, 2011);;;;; 163 659;;excluding intra-EU trade;;;;49;38;
Current account balance (million US$, 2011);;;;;- 8 000;;Commercial services;;;;46;65;
Trade per capita (US$, 2009-2011);;;;; 2 217;;excluding intra-EU trade;;;;29;46;
Trade to GDP ratio (2009-2011);;;;;  75.4;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  133;;5;;4;;5;;
Exports of goods and services (volume, 2005=100);;;;;  127;;4;;16;;2;;
Imports of goods and services (volume, 2005=100);;;;;  145;;6;;3;;7;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 January 1995;;Contribution to WTO budget (%, 2012);;;;;0.189;
Trade Policy Review;;;;;24, 26 June 2009;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;6.7;
Tariffs and duty free imports;;;;;;;to total imports;;;;;3.9;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  24;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;6 - 1;
All goods;;;;  41.3 ;  14.3;;Anti-dumping (30 June 2011);;;;;0;
Agricultural goods (AOA);;;;  54.4 ;  41.2;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  39.3 ;  10.2;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  0.0;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;0 - 0;
in agricultural goods (AOA);;;;;  0.0;;Original panel / Appellate Body (AB) reports;;;;;0 - 0;
in non-agricultural goods;;;;;  1.1;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  45;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 21 519;;12;;26;;21;;
Merchandise imports, c.i.f. (million US$);;;;; 44 295;;13;;8;;25;;
;;;;;;;;;;;;;
;;;;;2011  a;;;;;;2011  a;;
Share in world total exports ;;;;;  0.12;;Share in world total imports ;;;;;0.24;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
