;;;;;;;;;;;September 2012;;
Mauritius;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 1 286;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 11 313;;Merchandise ;;;;124;126;
GDP (million current PPP US$, 2011);;;;; 18 677;;excluding intra-EU trade;;;;99;100;
Current account balance (million US$, 2010);;;;;-  800;;Commercial services;;;;82;95;
Trade per capita (US$, 2009-2011);;;;; 8 727;;excluding intra-EU trade;;;;56;69;
Trade to GDP ratio (2009-2011);;;;;  112.3;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  130;;4;;4;;4;;
Exports of goods and services (volume, 2005=100);;;;;  126;;4;;10;;4;;
Imports of goods and services (volume, 2005=100);;;;;  119;;3;;7;;7;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 January 1995;;Contribution to WTO budget (%, 2012);;;;;0.031;
Trade Policy Review;;;;;23, 25 April 2008;;Import duties collected (%, 2009-2010);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;2.8;
Tariffs and duty free imports;;;;;;;to total imports;;;;;0.9;
Tariff binding coverage (%) ;;;;;  17.9;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  36;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;3 - 0;
All goods;;;;  94.0 ;  1.4;;Anti-dumping (30 June 2011);;;;;...;
Agricultural goods (AOA);;;;  119.7 ;  1.0;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  22.5 ;  1.4;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  3.3;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;0 - 0;
in agricultural goods (AOA);;;;;  93.1;;Original panel / Appellate Body (AB) reports;;;;;0 - 0;
in non-agricultural goods;;;;;  91.0;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  27;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 2 647;;4;;17;;17;;
Merchandise imports, c.i.f. (million US$);;;;; 5 158;;9;;17;;18;;
;;;;;;;;;;;;;
;;;;;2011   ;;;;;;2011   ;;
Share in world total exports ;;;;;  0.01;;Share in world total imports ;;;;;0.03;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
