;;;;;;;;;;;September 2012;;
Sao Tome and Principe;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;;  169;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;;  248;;Merchandise ;;;;203;202;
GDP (million current PPP US$, 2011);;;;;  347;;excluding intra-EU trade;;;;177;176;
Current account balance (million US$, 2010);;;;;-  107;;Commercial services;;;;191;193;
Trade per capita (US$, 2008-2010);;;;;  827;;excluding intra-EU trade;;;;165;167;
Trade to GDP ratio (2008-2010);;;;;  69.4;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;...;;...;;...;;...;;
Exports of goods and services (volume, 2005=100);;;;;...;;...;;...;;...;;
Imports of goods and services (volume, 2005=100);;;;;...;;...;;...;;...;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;Observer;;Contribution to WTO budget;;;;;-;
Trade Policy Review;;;;;-;;Import duties collected (%, 2008-2010);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;27.5;
Tariffs and duty free imports;;;;;;;to total imports;;;;;7.4;
Tariff binding coverage (%) ;;;;;-;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied;;Outstanding notifications in WTO Central Registry;;;;;-;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;0 - 0;
All goods;;;;- ;...;;Anti-dumping ;;;;;-;
Agricultural goods (AOA);;;;- ;...;;Countervailing duties ;;;;;-;
Non-agricultural goods;;;;- ;...;;Safeguards ;;;;;-;
Non ad-valorem duties (% total tariff lines);;;;- ;...;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports;;;;;;;Requests for consultation;;;;;-;
in agricultural goods (AOA);;;;;...;;Original panel / Appellate Body (AB) reports;;;;;-;
in non-agricultural goods;;;;;...;;Compliance panel / AB reports (Article 21.5 DSU);;;;;-;
Services sectors with GATS commitments;;;;;-;;Arbitration awards (Article 22.6 DSU);;;;;-;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;;  11;;8;;36;;0;;
Merchandise imports, c.i.f. (million US$);;;;;  125;;17;;9;;11;;
;;;;;;;;;;;;;
;;;;;2011  a;;;;;;2011  a;;
Share in world total exports ;;;;;  0.00;;Share in world total imports ;;;;;0.00;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  55.3;;Agricultural products;;;;;30.6;
Fuels and mining products;;;;;  0.0;;Fuels and mining products;;;;;17.2;
Manufactures;;;;;  2.7;;Manufactures;;;;;51.8;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. European Union (27);;;;;  81.5;;1. European Union (27);;;;;  66.8;
2. Norway;;;;;  4.6;;2. Angola;;;;;  15.6;
3. Nigeria;;;;;  4.1;;3. Gabon;;;;;  5.1;
4. Angola;;;;;  1.3;;4. Japan;;;;;  2.3;
5. United States;;;;;  0.5;;5. China;;;;;  2.2;
    Unspecified destinations;;;;;  6.6;;    Unspecified origins;;;;;0.8;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2010   ;;2005-2010;;;2009   ;2010   ;;
Commercial services exports (million US$);;;;;  12   ;;5;;8;;13;;
Commercial services imports (million US$);;;;;  31   ;;25;;-8;;76;;
;;;;;;;;;;;;;
;;;;;2010   ;;;;;;2010   ;;
Share in world total exports;;;;;  0.00   ;;Share in world total imports;;;;;0.00;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
