;;;;;;;;;;;September 2012;;
Trinidad and Tobago;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 1 346;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 22 483;;Merchandise ;;;;77;96;
GDP (million current PPP US$, 2011);;;;; 34 939;;excluding intra-EU trade;;;;54;72;
Current account balance (million US$, 2010);;;;; 4 172;;Commercial services;;;;120;155;
Trade per capita (US$, 2008-2010);;;;; 16 385;;excluding intra-EU trade;;;;94;129;
Trade to GDP ratio (2008-2010);;;;;  95.6;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  116;;3;;0;;-1;;
Exports of goods and services (volume, 2005=100);;;;;...;;...;;...;;...;;
Imports of goods and services (volume, 2005=100);;;;;...;;...;;...;;...;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;1 March 1995;;Contribution to WTO budget (%, 2012);;;;;0.068;
Trade Policy Review;;;;;7, 9 March 2012;;Import duties collected (%, 2007-2009);;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;5.0;
Tariffs and duty free imports;;;;;;;to total imports;;;;;3.8;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2011;;Outstanding notifications in WTO Central Registry;;;;;  15;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;3 - 2;
All goods;;;;  55.8 ;  7.5;;Anti-dumping (30 June 2011);;;;;1;
Agricultural goods (AOA);;;;  89.9 ;  18.2;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  50.6 ;  5.9;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  0.3;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2010);;;;;;;Requests for consultation;;;;;0 - 2;
in agricultural goods (AOA);;;;;  32.2;;Original panel / Appellate Body (AB) reports;;;;;0 - 0;
in non-agricultural goods;;;;;  79.4;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  32;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 13 700;;5;;20;;25;;
Merchandise imports, c.i.f. (million US$);;;;; 9 300;;9;;-7;;44;;
;;;;;;;;;;;;;
;;;;;2011  a;;;;;;2011  a;;
Share in world total exports ;;;;;  0.08;;Share in world total imports ;;;;;0.05;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  2.4;;Agricultural products;;;;;11.8;
Fuels and mining products;;;;;  66.1;;Fuels and mining products;;;;;38.2;
Manufactures;;;;;  31.5;;Manufactures;;;;;49.8;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. United States;;;;;  48.1;;1. United States;;;;;  28.0;
2. European Union (27);;;;;  9.0;;2. Gabon;;;;;  12.9;
3. Jamaica;;;;;  6.5;;3. Colombia;;;;;  9.5;
4. Barbados;;;;;  3.4;;4. European Union (27);;;;;  9.1;
5. Suriname;;;;;  2.7;;5. Brazil;;;;;  7.2;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
COMMERCIAL SERVICES TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2010   ;;2005-2010;;;2009   ;2010   ;;
Commercial services exports (million US$);;;;;  869   ;;0;;-17;;15;;
Commercial services imports (million US$);;;;;  369   ;;-5;;23;;10;;
;;;;;;;;;;;;;
;;;;;2010   ;;;;;;2010   ;;
Share in world total exports;;;;;  0.02   ;;Share in world total imports;;;;;0.01;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By principal services item;;;;;;;  By principal services item;;;;;;
Transportation;;;;;  25.7   ;;Transportation;;;;;33.5;
Travel;;;;;  51.7   ;;Travel;;;;;19.2;
Other commercial services;;;;;  22.6   ;;Other commercial services;;;;;47.4;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
INDUSTRIAL PROPERTY ;;;;;;;;;;;;;
Patent grants by patent office, 2008;;;;;;;Trademark registrations by office, 2002;;;;;;
Residents;;Non-residents;; Total ;;;Direct residents;;Direct non-residents;;Madrid; Total ;
;;;;;;;;;;;;;
