;;;;;;;;;;;September 2012;;
Viet Nam;;;;;;;;;;;;;
;;;;;;;;;;;;;
BASIC INDICATORS;;;;;;;;;;;;;
;;;;;;;;;;;;;
Population (thousands, 2011);;;;; 87 840;;Rank in world trade, 2011;;;;Exports;Imports;
GDP (million current US$, 2011);;;;; 123 961;;Merchandise ;;;;40;33;
GDP (million current PPP US$, 2011);;;;; 301 728;;excluding intra-EU trade;;;;27;23;
Current account balance (million US$, 2011);;;;;  236;;Commercial services;;;;56;53;
Trade per capita (US$, 2009-2011);;;;; 1 982;;excluding intra-EU trade;;;;38;36;
Trade to GDP ratio (2009-2011);;;;;  157.8;;;;;;;;
;;;;;;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
;;;;;;;;;;;;;
Real GDP (2005=100);;;;;  149;;7;;7;;6;;
Exports of goods and services (volume, 2005=100);;;;;  153;;7;;15;;15;;
Imports of goods and services (volume, 2005=100);;;;;  176;;10;;14;;14;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRADE POLICY;;;;;;;;;;;;;
WTO accession;;;;;11 January 2007;;Contribution to WTO budget (%, 2012);;;;;0.379;
Trade Policy Review;;;;;...;;Import duties collected;;;;;;
GPA accession ;;;;;-;;in total tax revenue;;;;;...;
Tariffs and duty free imports;;;;;;;to total imports;;;;;...;
Tariff binding coverage (%) ;;;;;  100;;Number of notifications to WTO and measures in force ;;;;;;
MFN tariffs;;;Final bound;;Applied 2010;;Outstanding notifications in WTO Central Registry;;;;;  29;
Simple average of import duties;;;;;;;Goods RTAs - services EIAs notified to WTO;;;;;8 - 4;
All goods;;;;  11.5 ;  9.8;;Anti-dumping (30 June 2011);;;;;...;
Agricultural goods (AOA);;;;  18.5 ;  17.0;;Countervailing duties (30 June 2011);;;;;...;
Non-agricultural goods;;;;  10.4 ;  8.7;;Safeguards (26 October 2011);;;;;  0;
Non ad-valorem duties (% total tariff lines);;;;  0.0 ;  0.1;;Number of disputes (complainant - defendant) ;;;;;;
MFN duty free imports (%, 2009);;;;;;;Requests for consultation;;;;;2 - 0;
in agricultural goods (AOA);;;;;  44.5;;Original panel / Appellate Body (AB) reports;;;;;1 - 0;
in non-agricultural goods;;;;;  44.0;;Compliance panel / AB reports (Article 21.5 DSU);;;;;0 - 0;
Services sectors with GATS commitments;;;;;  105;;Arbitration awards (Article 22.6 DSU);;;;;0 - 0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
MERCHANDISE TRADE ;;;;;Value;;Annual percentage change;;;;;;
;;;;;2011   ;;2005-2011;;2010;;2011   ;;
Merchandise exports, f.o.b. (million US$);;;;; 96 906;;20;;27;;34;;
Merchandise imports, c.i.f. (million US$);;;;; 106 750;;19;;21;;26;;
;;;;;;;;;;;;;
;;;;;2011  a;;;;;;2011  a;;
Share in world total exports ;;;;;  0.53;;Share in world total imports ;;;;;0.58;
;;;;;;;;;;;;;
Breakdown in economy's total exports;;;;;;;Breakdown in economy's total imports;;;;;;
  By main commodity group (ITS);;;;;;;  By main commodity group (ITS);;;;;;
Agricultural products;;;;;  22.9;;Agricultural products;;;;;12.3;
Fuels and mining products;;;;;  11.6;;Fuels and mining products;;;;;15.9;
Manufactures;;;;;  64.0;;Manufactures;;;;;68.9;
;;;;;;;;;;;;;
  By main destination;;;;;;;  By main origin;;;;;;
1. United States;;;;;  19.7;;1. China;;;;;  23.8;
