from,to,amount,type
ARE,IDN,11.0,ex
E27,ARE,15.7,in
ARE,IRN,4.7,ex
IDN,ARE,12.5,in
ARE,IRQ,2.3,ex
CHN,ARE,7.5,in
ARE,CHE,2.2,ex
BRA,ARE,6.2,in
ARE,E27,1.9,ex
JPN,ARE,4.3,in
AFG,BGD,39.0,ex
UZB,AFG,21.1,in
AFG,IDN,16.8,ex
TWN,AFG,13.7,in
AFG,TUR,9.0,ex
PAK,AFG,11.6,in
AFG,IRN,8.2,ex
E27,AFG,9.9,in
AFG,RUS,7.6,ex
JPN,AFG,9.6,in
ATG,USA,38.1,ex
BRA,ATG,32.8,in
ATG,E27,15.5,ex
E27,ATG,7.8,in
ATG,ATG,7.4,ex
TTO,ATG,4.0,in
ATG,TTO,6.9,ex
CHN,ATG,2.9,in
ATG,JAM,4.3,ex
JPN,ATG,1.6,in
ALB,E27,72.7,ex
E27,ALB,64.0,in
ALB,SRB,9.3,ex
CHN,ALB,6.4,in
ALB,TUR,7.4,ex
TUR,ALB,5.6,in
ALB,CHE,2.7,ex
SRB,ALB,4.4,in
ALB,TWN,2.5,ex
CHE,ALB,2.6,in
ARM,E27,46.0,ex
E27,ARM,26.0,in
ARM,RUS,16.7,ex
RUS,ARM,21.5,in
ARM,USA,7.6,ex
CHN,ARM,9.8,in
ARM,IRN,7.1,ex
TUR,ARM,5.8,in
ARM,CAN,5.3,ex
UKR,ARM,5.6,in
ARG,BRA,20.7,ex
BRA,ARG,28.4,in
ARG,E27,16.9,ex
E27,ARG,16.1,in
ARG,TWN,7.4,ex
CHN,ARG,15.1,in
ARG,CHL,5.8,ex
BRA,ARG,10.7,in
ARG,USA,5.1,ex
MEX,ARG,3.4,in
AUT,E27,70.5,ex
E27,AUT,72.5,in
AUT,CHE,5.1,ex
CHE,AUT,5.4,in
AUT,USA,4.5,ex
CHN,AUT,4.8,in
AUT,TWN,2.6,ex
BRA,AUT,2.9,in
AUT,RUS,2.3,ex
RUS,AUT,2.0,in
AUS,TWN,27.5,ex
CHN,AUS,18.5,in
